t1_elo,t2_elo,elo_diff,t1_elo_prob,t1_weighted_form,t2_weighted_form,form_diff,t1_season_wr,t2_season_wr,season_wr_diff,t1_venue_wr,t2_venue_wr,venue_wr_diff,toss_venue_adv,field_first_adv,toss_field_interact,h2h_t1_win_rate,h2h_matches,team1_won_toss,toss_winner_batted,team1_enc,team2_enc,venue_enc,season_enc,team1_won,date,id,team1,team2,venue
1500.0,1500.0,0.0,0.5,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0,1,0,11,5,23,0,0,2008-04-18,335982,Royal Challengers Bangalore,Kolkata Knight Riders,M Chinnaswamy Stadium
1500.0,1500.0,0.0,0.5,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0,0,1,8,0,40,0,0,2008-04-19,335983,Punjab Kings,Chennai Super Kings,"Punjab Cricket Association Stadium, Mohali"
1500.0,1500.0,0.0,0.5,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0,0,1,1,9,16,0,1,2008-04-19,335984,Delhi Capitals,Rajasthan Royals,Feroz Shah Kotla
1500.0,1484.0,16.0,0.5230095872975623,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0,1,1,7,11,55,0,0,2008-04-20,335985,Mumbai Indians,Royal Challengers Bangalore,Wankhede Stadium
1516.0,1500.0,16.0,0.5230095872975623,1.0,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0,0,1,5,13,14,0,1,2008-04-20,335986,Kolkata Knight Riders,Sunrisers Hyderabad,Eden Gardens
1484.0,1484.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0,0,1,9,8,46,0,1,2008-04-21,335987,Rajasthan Royals,Punjab Kings,Sawai Mansingh Stadium
1484.74,1516.0,-31.25999999999999,0.45513424470557273,0.0,1.0,-1.0,0.0,1.0,-1.0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0,1,1,13,1,42,0,0,2008-04-22,335988,Sunrisers Hyderabad,Delhi Capitals,"Rajiv Gandhi International Stadium, Uppal"
1516.0,1483.26,32.74000000000001,0.5469776771385059,1.0,0.0,1.0,1.0,0.0,1.0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0,0,0,0,7,27,0,1,2008-04-23,335989,Chennai Super Kings,Mumbai Indians,"MA Chidambaram Stadium, Chepauk"
1470.17,1500.0,-29.829999999999927,0.4571763528299976,0.0,0.4444444444444444,-0.4444444444444444,0.0,0.5,-0.5,0.0,0.5,-0.5,0.0,0.5,0.0,0.5,0,0,0,13,9,42,0,0,2008-04-24,335990,Sunrisers Hyderabad,Rajasthan Royals,"Rajiv Gandhi International Stadium, Uppal"
1468.0,1468.77,-0.7699999999999818,0.49889188273824686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.5,1.0,0.5,0.0,0.5,0,0,0,8,7,40,0,1,2008-04-25,335991,Punjab Kings,Mumbai Indians,"Punjab Cricket Association Stadium, Mohali"
1500.74,1514.63,-13.8900000000001,0.4800213259401306,0.4444444444444444,0.5901639344262295,-0.14571948998178508,0.5,0.6666666666666666,-0.16666666666666663,0.0,0.5,-0.5,0.0,0.0,0.0,0.5,0,0,0,11,9,23,0,0,2008-04-26,335992,Royal Challengers Bangalore,Rajasthan Royals,M Chinnaswamy Stadium
1530.5,1531.26,-0.7599999999999909,0.498906273825307,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.5,0.5,0.0,0.0,0.0,0.5,0,0,1,0,5,27,0,1,2008-04-26,335993,Chennai Super Kings,Kolkata Knight Riders,"MA Chidambaram Stadium, Chepauk"
1452.73,1455.54,-2.8099999999999454,0.49595617310298945,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0,0,0,7,13,9,0,0,2008-04-27,335994,Mumbai Indians,Sunrisers Hyderabad,Dr DY Patil Sports Academy
1484.04,1530.56,-46.51999999999998,0.43344956833436954,0.2622950819672131,1.0,-0.7377049180327869,0.3333333333333333,1.0,-0.6666666666666667,0.5,0.5,0.0,0.5,0.0,0.0,0.5,0,0,1,8,1,40,0,1,2008-04-27,335995,Punjab Kings,Delhi Capitals,"Punjab Cricket Association Stadium, Mohali"
1485.38,1546.53,-61.149999999999864,0.412895644825258,0.32786885245901637,0.9999999999999999,-0.6721311475409835,0.3333333333333333,1.0,-0.6666666666666667,0.0,0.5,-0.5,0.5,0.5,0.0,0.5,0,0,1,11,0,23,0,0,2008-04-28,335996,Royal Challengers Bangalore,Chennai Super Kings,M Chinnaswamy Stadium
1515.23,1436.86,78.37000000000012,0.6109088150362281,0.7377049180327868,0.0,0.7377049180327868,0.6666666666666666,0.0,0.6666666666666666,1.0,0.5,0.5,0.0,0.5,0.0,0.5,0,1,1,5,7,14,0,0,2008-04-29,335997,Kolkata Knight Riders,Mumbai Indians,Eden Gardens
1512.43,1472.16,40.26999999999998,0.5576950556565033,0.7377049180327868,0.27100271002710025,0.46670220800568657,0.6666666666666666,0.25,0.41666666666666663,1.0,0.5,0.5,0.0,0.5,0.0,0.5,0,0,0,1,11,16,0,1,2008-04-30,335998,Delhi Capitals,Royal Challengers Bangalore,Feroz Shah Kotla
